network,platform,latitude,longitude,date,vertical_datum,mass_concentration_of_oxygen_in_sea_wate,qcFlag 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2017-06-01T00:00:00Z,2.091,1.41,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2017-06-01T00:00:00Z,2.344,7.97,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2017-06-01T00:00:00Z,2.153,6.81,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2017-06-01T00:00:00Z,4.105,2.31,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2017-06-01T00:00:00Z,1.31,6.79,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2017-06-01T00:00:00Z,1.28,6.02,1111122 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2017-06-01T00:00:00Z,94.7,7.2,1111122 
NERRS,ioos:station:NOAA.NERRS:marscwq,27.8383,-97.0503,2017-06-01T00:00:00Z,6.18,6.5,1111122 
SCCF RECON,ioos:station:SCCF:11,26.4679,-82.0631,2017-06-01T00:00:00Z,2.06,5.51,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2017-06-01T00:00:00Z,2.61,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2017-06-01T00:00:00Z,2.62,6.6,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2017-06-01T00:00:00Z,1.586,4.97,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2017-06-01T00:00:00Z,1.96,6.27,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2017-06-01T00:00:00Z,2.39,4.81,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2017-06-01T00:00:00Z,1.73,8.13,1111122 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2017-06-01T00:15:00Z,94.3,7.18,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2017-06-01T00:15:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2017-06-01T00:15:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2017-06-01T00:15:00Z,1.0,-9999.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2017-06-01T00:30:00Z,2.05,2.55,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2017-06-01T00:30:00Z,2.325,7.98,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2017-06-01T00:30:00Z,2.075,6.61,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2017-06-01T00:30:00Z,4.078,1.65,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2017-06-01T00:30:00Z,1.296,6.62,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2017-06-01T00:30:00Z,1.284,5.62,1111122 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2017-06-01T00:30:00Z,94.8,7.22,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2017-06-01T00:30:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2017-06-01T00:30:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2017-06-01T00:30:00Z,1.0,-9999.0,1111122 
LUMCON,ioos:station:LUMCON:101,29.2533,-90.6633,2017-06-01T00:45:00Z,91.1,6.93,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2017-06-01T00:45:00Z,1.28,5.8,1111122 
SCCF RECON,ioos:station:SCCF:16,26.4345,-81.9647,2017-06-01T00:45:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:51,26.5545,-82.1715,2017-06-01T00:45:00Z,1.0,-9999.0,1111122 
SCCF RECON,ioos:station:SCCF:53,26.6493,-81.8810,2017-06-01T00:45:00Z,1.0,-9999.0,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2017-06-01T01:00:00Z,2.019,2.71,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2017-06-01T01:00:00Z,2.273,7.9,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2017-06-01T01:00:00Z,2.065,6.74,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2017-06-01T01:00:00Z,4.046,2.07,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2017-06-01T01:00:00Z,1.277,6.67,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2017-06-01T01:00:00Z,1.25,5.56,1111122 
