network,platform,latitude,longitude,date,vertical_datum,mass_concentration_of_oxygen_in_sea_wate,qcFlag 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2018-07-01T00:00:00Z,1.25,4.98,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-07-01T00:00:00Z,1.988,6.73,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-07-01T00:15:00Z,1.968,6.82,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2018-07-01T00:30:00Z,2.116,5.17,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-07-01T00:30:00Z,1.998,6.21,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2018-07-01T00:30:00Z,3.854,1.5,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2018-07-01T00:30:00Z,3.649,2.69,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2018-07-01T00:30:00Z,1.175,6.43,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-07-01T00:30:00Z,1.961,6.92,1111122 
TCOON,ioos:station:TCOON:072,27.8392,-97.4440,2018-07-01T00:30:00Z,1.0,6.41,1111122 
TCOON,ioos:station:TCOON:074,27.8516,-97.4820,2018-07-01T00:30:00Z,1.0,6.58,1111122 
TCOON,ioos:station:TCOON:127,28.2598,-96.7737,2018-07-01T00:30:00Z,1.0,6.55,1111122 
TCOON,ioos:station:TCOON:170,27.2970,-97.4049,2018-07-01T00:30:00Z,1.0,7.24,1111122 
TCOON,ioos:station:TCOON:171,27.4847,-97.3181,2018-07-01T00:30:00Z,1.0,7.0,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-07-01T00:45:00Z,1.953,6.96,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-07-01T00:45:00Z,1.92,5.3,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-07-01T00:45:00Z,1.0,3.9,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2018-07-01T01:00:00Z,1.136,5.09,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-07-01T01:00:00Z,1.95,7.04,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-07-01T01:15:00Z,1.945,7.03,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2018-07-01T01:30:00Z,2.09,4.09,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-07-01T01:30:00Z,1.982,6.88,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2018-07-01T01:30:00Z,3.812,1.5,1111122 
DISL,ioos:station:DISL:MBLA,30.4367,-88.0117,2018-07-01T01:30:00Z,3.588,2.58,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2018-07-01T01:30:00Z,1.175,6.29,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-07-01T01:30:00Z,1.929,7.05,1111122 
TCOON,ioos:station:TCOON:072,27.8392,-97.4440,2018-07-01T01:30:00Z,1.0,6.34,1111122 
