network,platform,latitude,longitude,date,vertical_datum,mass_concentration_of_oxygen_in_sea_wate,qcFlag 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2018-06-01T00:00:00Z,2.282,7.56,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2018-06-01T00:00:00Z,1.489,8.41,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T00:00:00Z,1.581,7.96,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T00:15:00Z,1.578,7.88,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-06-01T00:30:00Z,2.028,8.13,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2018-06-01T00:30:00Z,3.874,7.93,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2018-06-01T00:30:00Z,1.247,7.2,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T00:30:00Z,1.565,7.81,1111122 
TCOON,ioos:station:TCOON:072,27.8392,-97.4440,2018-06-01T00:30:00Z,1.0,6.82,1111122 
TCOON,ioos:station:TCOON:074,27.8516,-97.4820,2018-06-01T00:30:00Z,1.0,6.39,1111122 
TCOON,ioos:station:TCOON:127,28.2598,-96.7737,2018-06-01T00:30:00Z,1.0,7.03,1111122 
TCOON,ioos:station:TCOON:170,27.2970,-97.4049,2018-06-01T00:30:00Z,1.0,6.59,1111122 
TCOON,ioos:station:TCOON:171,27.4847,-97.3181,2018-06-01T00:30:00Z,1.0,5.51,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T00:45:00Z,1.563,7.75,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-06-01T00:45:00Z,1.87,6.5,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-06-01T00:45:00Z,0.88,5.0,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2018-06-01T01:00:00Z,2.244,7.28,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2018-06-01T01:00:00Z,1.419,8.27,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T01:00:00Z,1.543,7.66,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T01:15:00Z,1.541,7.55,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-06-01T01:30:00Z,2.015,7.32,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2018-06-01T01:30:00Z,3.85,8.0,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2018-06-01T01:30:00Z,1.224,7.14,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T01:30:00Z,1.542,7.47,1111122 
TCOON,ioos:station:TCOON:072,27.8392,-97.4440,2018-06-01T01:30:00Z,1.0,6.71,1111122 
TCOON,ioos:station:TCOON:074,27.8516,-97.4820,2018-06-01T01:30:00Z,1.0,6.36,1111122 
TCOON,ioos:station:TCOON:127,28.2598,-96.7737,2018-06-01T01:30:00Z,1.0,6.65,1111122 
TCOON,ioos:station:TCOON:170,27.2970,-97.4049,2018-06-01T01:30:00Z,1.0,6.3,1111122 
TCOON,ioos:station:TCOON:171,27.4847,-97.3181,2018-06-01T01:30:00Z,1.0,5.44,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T01:45:00Z,1.535,7.35,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-06-01T01:45:00Z,1.76,6.4,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-06-01T01:45:00Z,0.77,4.6,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2018-06-01T02:00:00Z,2.219,7.24,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2018-06-01T02:00:00Z,1.361,8.4,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T02:00:00Z,1.53,7.24,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T02:15:00Z,1.532,7.07,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-06-01T02:30:00Z,1.98,6.58,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2018-06-01T02:30:00Z,3.829,7.94,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2018-06-01T02:30:00Z,1.21,6.91,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T02:30:00Z,1.53,6.98,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T02:45:00Z,1.546,6.82,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-06-01T02:45:00Z,1.67,5.8,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-06-01T02:45:00Z,0.7,4.5,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2018-06-01T03:00:00Z,2.214,7.03,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2018-06-01T03:00:00Z,1.319,7.87,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T03:00:00Z,1.543,6.74,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T03:15:00Z,1.543,6.62,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-06-01T03:30:00Z,1.977,6.45,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2018-06-01T03:30:00Z,3.843,7.78,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2018-06-01T03:30:00Z,1.2,6.84,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T03:30:00Z,1.554,6.5,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T03:45:00Z,1.564,6.4,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-06-01T03:45:00Z,1.6,4.7,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-06-01T03:45:00Z,0.75,4.4,1111122 
DISL,ioos:station:DISL:BSCA,30.3288,-87.8293,2018-06-01T04:00:00Z,2.049,7.26,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2018-06-01T04:00:00Z,2.246,6.87,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2018-06-01T04:00:00Z,1.261,7.68,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T04:00:00Z,1.574,6.28,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-06-01T04:00:00Z,2.04,5.29,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-06-01T04:00:00Z,1.62,4.14,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-06-01T04:00:00Z,1.189,7.85,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T04:15:00Z,1.575,6.28,1111122 
DISL,ioos:station:DISL:DISL,30.2513,-88.0778,2018-06-01T04:30:00Z,1.995,6.1,1111122 
DISL,ioos:station:DISL:KATA,30.2583,-88.2131,2018-06-01T04:30:00Z,3.87,7.23,1111122 
DISL,ioos:station:DISL:PPTA,30.2791,-87.5561,2018-06-01T04:30:00Z,1.193,6.58,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T04:30:00Z,1.58,6.27,1111122 
TCOON,ioos:station:TCOON:072,27.8392,-97.4440,2018-06-01T04:30:00Z,1.0,6.44,1111122 
TCOON,ioos:station:TCOON:074,27.8516,-97.4820,2018-06-01T04:30:00Z,1.0,6.08,1111122 
TCOON,ioos:station:TCOON:127,28.2598,-96.7737,2018-06-01T04:30:00Z,1.0,6.31,1111122 
TCOON,ioos:station:TCOON:170,27.2970,-97.4049,2018-06-01T04:30:00Z,1.0,5.36,1111122 
TCOON,ioos:station:TCOON:171,27.4847,-97.3181,2018-06-01T04:30:00Z,1.0,5.13,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T04:45:00Z,1.579,6.16,1111122 
NERRS,ioos:station:NOAA.NERRS:apaebwq,29.7858,-84.8752,2018-06-01T04:45:00Z,1.55,4.4,1111122 
NERRS,ioos:station:NOAA.NERRS:rkblhwq,26.0257,-81.7332,2018-06-01T04:45:00Z,0.87,4.7,1111122 
DISL,ioos:station:DISL:CATA,30.3085,-88.1395,2018-06-01T05:00:00Z,2.28,5.72,1111122 
DISL,ioos:station:DISL:MHPA,30.6671,-87.9365,2018-06-01T05:00:00Z,1.221,7.68,1111122 
LUMCON,ioos:station:LUMCON:wisl1,29.1144,-90.1840,2018-06-01T05:00:00Z,1.591,6.2,1111122 
SCCF RECON,ioos:station:SCCF:13,26.5255,-82.0032,2018-06-01T05:00:00Z,2.152,5.32,1111122 
SCCF RECON,ioos:station:SCCF:18,26.6955,-81.8138,2018-06-01T05:00:00Z,1.571,4.77,1111122 
SCCF RECON,ioos:station:SCCF:56,26.4645,-82.1044,2018-06-01T05:00:00Z,1.336,6.97,1111122 
