"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"US1TXBRZ036","PEARLAND 7.4 W, TX US","29.548258","-95.398357","19.5","2022-01-01",,,,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TXBRZ036","PEARLAND 7.4 W, TX US","29.548258","-95.398357","19.5","2022-01-03",,,"    2",",,N",,,"0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TXBRZ036","PEARLAND 7.4 W, TX US","29.548258","-95.398357","19.5","2022-01-04",,,,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TXBRZ036","PEARLAND 7.4 W, TX US","29.548258","-95.398357","19.5","2022-01-05",,,,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TXBRZ036","PEARLAND 7.4 W, TX US","29.548258","-95.398357","19.5","2022-01-06",,,,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TXBRZ036","PEARLAND 7.4 W, TX US","29.548258","-95.398357","19.5","2022-01-07",,,,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TXBRZ036","PEARLAND 7.4 W, TX US","29.548258","-95.398357","19.5","2022-01-08",,,,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TXBRZ036","PEARLAND 7.4 W, TX US","29.548258","-95.398357","19.5","2022-01-09",,,,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TXBRZ036","PEARLAND 7.4 W, TX US","29.548258","-95.398357","19.5","2022-01-10",,,,,,,,,,,"17.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TXBRZ036","PEARLAND 7.4 W, TX US","29.548258","-95.398357","19.5","2022-01-11",,,,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TXBRZ036","PEARLAND 7.4 W, TX US","29.548258","-95.398357","19.5","2022-01-12",,,,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TXBRZ036","PEARLAND 7.4 W, TX US","29.548258","-95.398357","19.5","2022-01-13",,,,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TXBRZ036","PEARLAND 7.4 W, TX US","29.548258","-95.398357","19.5","2022-01-14",,,,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TXBRZ036","PEARLAND 7.4 W, TX US","29.548258","-95.398357","19.5","2022-01-16",,,,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TXBRZ036","PEARLAND 7.4 W, TX US","29.548258","-95.398357","19.5","2022-01-18",,,,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TXBRZ036","PEARLAND 7.4 W, TX US","29.548258","-95.398357","19.5","2022-01-20",,,,,,,,,,,"13.2",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TXBRZ036","PEARLAND 7.4 W, TX US","29.548258","-95.398357","19.5","2022-01-21",,,,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TXBRZ036","PEARLAND 7.4 W, TX US","29.548258","-95.398357","19.5","2022-01-22",,,,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TXBRZ036","PEARLAND 7.4 W, TX US","29.548258","-95.398357","19.5","2022-01-23",,,,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TXBRZ036","PEARLAND 7.4 W, TX US","29.548258","-95.398357","19.5","2022-01-24",,,,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TXBRZ036","PEARLAND 7.4 W, TX US","29.548258","-95.398357","19.5","2022-01-25",,,,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TXBRZ036","PEARLAND 7.4 W, TX US","29.548258","-95.398357","19.5","2022-01-26",,,,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TXBRZ036","PEARLAND 7.4 W, TX US","29.548258","-95.398357","19.5","2022-01-27",,,,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TXBRZ036","PEARLAND 7.4 W, TX US","29.548258","-95.398357","19.5","2022-01-29",,,,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TXBRZ036","PEARLAND 7.4 W, TX US","29.548258","-95.398357","19.5","2022-01-30",,,,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TXBRZ036","PEARLAND 7.4 W, TX US","29.548258","-95.398357","19.5","2022-01-31",,,,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TXBRZ036","PEARLAND 7.4 W, TX US","29.548258","-95.398357","19.5","2022-02-06",,,,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TXBRZ036","PEARLAND 7.4 W, TX US","29.548258","-95.398357","19.5","2022-02-07",,,,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1TXBRZ036","PEARLAND 7.4 W, TX US","29.548258","-95.398357","19.5","2022-02-09",,,,,,,,,,,"0.0",",,N","0.0",",,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
